timestamp,city,ip,fqdn,site,upload,download
2018-02-01T17:01:11Z,Belgrade,188.120.127.11,ndt.iupui.mlab1.beg01.measurement-lab.org,beg01,0,0
2018-02-01T18:00:33Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,4.75,91.67
2018-02-01T18:01:31Z,London,77.67.114.203,ndt.iupui.mlab1.lhr03.measurement-lab.org,lhr03,1.37,83.79
2018-02-01T19:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,6.94,91.19
2018-02-01T19:01:11Z,New York_NY,128.177.119.203,ndt.iupui.mlab1.lga06.measurement-lab.org,lga06,3.01,89.89
2018-02-01T20:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,5,87.73
2018-02-01T20:01:11Z,Hamburg,80.239.142.203,ndt.iupui.mlab1.ham01.measurement-lab.org,ham01,1.23,83.32
2018-02-01T21:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,5.29,68.1
2018-02-01T21:01:06Z,Amsterdam,195.89.145.11,ndt.iupui.mlab1.ams05.measurement-lab.org,ams05,2.68,73.41
2018-02-01T22:00:38Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,5.51,91.63
2018-02-01T22:01:11Z,Brussels,195.89.146.139,ndt.iupui.mlab1.bru01.measurement-lab.org,bru01,0,0
2018-02-01T23:00:33Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,4.93,92.06
2018-02-01T23:01:11Z,Montreal,216.66.14.75,ndt.iupui.mlab1.yul02.measurement-lab.org,yul02,3.35,17.47
2018-02-02T00:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,4.72,91.84
2018-02-02T00:01:11Z,Toronto,216.66.68.152,ndt.iupui.mlab2.yyz02.measurement-lab.org,yyz02,3.88,10.39
2018-02-02T01:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,4.77,2.35
2018-02-02T01:01:12Z,Frankfurt,80.239.199.11,ndt.iupui.mlab1.fra01.measurement-lab.org,fra01,0,0
2018-02-02T02:00:33Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,11.92,91.83
2018-02-02T02:01:11Z,Montreal,216.66.14.75,ndt.iupui.mlab1.yul02.measurement-lab.org,yul02,11.96,88.19
2018-02-02T03:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,11.99,0.47558
2018-02-02T03:01:07Z,Leeds,109.239.110.24,ndt.iupui.mlab2.lba01.measurement-lab.org,lba01,0,0
2018-02-02T04:00:32Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,11.75,82.71
2018-02-02T04:01:09Z,Dallas_TX,208.177.76.75,ndt.iupui.mlab1.dfw04.measurement-lab.org,dfw04,11.82,68.82
2018-02-02T05:00:32Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,11.76,85.77
2018-02-02T05:01:11Z,Larnaca,82.116.199.11,ndt.iupui.mlab1.lca01.measurement-lab.org,lca01,0,0
2018-02-02T06:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,11.9,91.79
2018-02-02T06:01:11Z,Miami_FL,66.110.73.11,ndt.iupui.mlab1.mia03.measurement-lab.org,mia03,11.54,88.45
2018-02-02T07:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,9.16,91.37
2018-02-02T07:01:11Z,Paris,195.89.147.203,ndt.iupui.mlab1.par05.measurement-lab.org,par05,0,0
2018-02-02T08:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,7.79,92.25
2018-02-02T08:01:10Z,Milan,195.89.147.11,ndt.iupui.mlab1.mil05.measurement-lab.org,mil05,0,0
2018-02-02T09:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,7.27,91.76
2018-02-02T09:01:10Z,Paris,195.89.147.203,ndt.iupui.mlab1.par05.measurement-lab.org,par05,0,0
2018-02-02T10:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,0,0
2018-02-02T10:01:06Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,7.68,92.14
2018-02-02T11:00:32Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,0,0
2018-02-02T11:01:06Z,Dublin,193.1.12.203,ndt.iupui.mlab1.dub01.measurement-lab.org,dub01,0,0
2018-02-02T12:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,6.14,89.99
2018-02-02T12:01:06Z,Brussels,195.89.146.139,ndt.iupui.mlab1.bru01.measurement-lab.org,bru01,2.13,76.59
2018-02-02T13:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,5.45,92.36
2018-02-02T13:01:11Z,Seattle_WA,64.3.225.75,ndt.iupui.mlab1.sea05.measurement-lab.org,sea05,1.97,52
2018-02-02T14:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,5.33,91.69
2018-02-02T14:01:08Z,Winnipeg,184.105.55.75,ndt.iupui.mlab1.ywg01.measurement-lab.org,ywg01,0,0
2018-02-02T15:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,4.86,90.22
2018-02-02T15:01:08Z,Los Angeles_CA,128.177.109.203,ndt.iupui.mlab1.lax05.measurement-lab.org,lax05,3.18,75.06
2018-02-02T16:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,4.74,89.93
2018-02-02T16:01:07Z,Prague,80.239.156.139,ndt.iupui.mlab1.prg03.measurement-lab.org,prg03,1.76,64.05
2018-02-02T17:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,5.8,89.91
2018-02-02T17:01:08Z,Dallas_TX,128.177.163.75,ndt.iupui.mlab1.dfw05.measurement-lab.org,dfw05,1.88,85.75
2018-02-02T18:00:32Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,5.09,82.51
2018-02-02T18:01:05Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,4.44,92.12
2018-02-02T19:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,4.69,91.38
2018-02-02T19:01:06Z,Turin,194.116.85.203,ndt.iupui.mlab1.trn01.measurement-lab.org,trn01,0,0
2018-02-02T20:00:33Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,5.13,91.68
2018-02-02T20:01:07Z,Washington_DC,38.90.140.139,ndt.iupui.mlab1.iad02.measurement-lab.org,iad02,3.86,87.68
2018-02-02T21:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,5.11,91.75
2018-02-02T21:01:10Z,Maputo,41.94.23.11,ndt.iupui.mlab1.mpm01.measurement-lab.org,mpm01,0,0
